2026-04-08 00:44:03 | INFO | D:\CoPaw\desktop\tauri-copaw\src-tauri\target\release\copaw.dist\reme\core\op\base_op.py:277 | ContextChecker.call | ========== cost=0.003793s ==========
2026-04-08 00:47:10 | INFO | D:\CoPaw\desktop\tauri-copaw\src-tauri\target\release\copaw.dist\reme\core\op\base_op.py:277 | ContextChecker.call | ========== cost=0.007011s ==========
2026-04-08 00:47:32 | INFO | D:\CoPaw\desktop\tauri-copaw\src-tauri\target\release\copaw.dist\reme\core\op\base_op.py:277 | ContextChecker.call | ========== cost=0.009452s ==========
2026-04-08 00:47:35 | INFO | D:\CoPaw\desktop\tauri-copaw\src-tauri\target\release\copaw.dist\reme\core\op\base_op.py:277 | ContextChecker.call | ========== cost=0.006197s ==========
2026-04-08 00:47:41 | INFO | D:\CoPaw\desktop\tauri-copaw\src-tauri\target\release\copaw.dist\reme\core\op\base_op.py:277 | ContextChecker.call | ========== cost=0.009512s ==========
2026-04-08 00:48:02 | INFO | D:\CoPaw\desktop\tauri-copaw\src-tauri\target\release\copaw.dist\reme\core\op\base_op.py:277 | ContextChecker.call | ========== cost=0.010694s ==========
2026-04-08 00:48:33 | INFO | D:\CoPaw\desktop\tauri-copaw\src-tauri\target\release\copaw.dist\reme\core\op\base_op.py:277 | ContextChecker.call | ========== cost=0.009606s ==========
2026-04-08 00:48:40 | INFO | D:\CoPaw\desktop\tauri-copaw\src-tauri\target\release\copaw.dist\reme\core\op\base_op.py:277 | ContextChecker.call | ========== cost=0.006702s ==========
2026-04-08 00:48:56 | INFO | D:\CoPaw\desktop\tauri-copaw\src-tauri\target\release\copaw.dist\reme\core\op\base_op.py:277 | ContextChecker.call | ========== cost=0.011559s ==========
2026-04-08 00:49:53 | INFO | D:\CoPaw\desktop\tauri-copaw\src-tauri\target\release\copaw.dist\reme\core\op\base_op.py:277 | ContextChecker.call | ========== cost=0.008633s ==========
2026-04-08 00:50:13 | INFO | D:\CoPaw\desktop\tauri-copaw\src-tauri\target\release\copaw.dist\reme\core\op\base_op.py:277 | ContextChecker.call | ========== cost=0.010851s ==========
